COPY (

select count(distinct(cpims_ovc_id)) as dcount, county,
graduation_pathway,
CASE
            WHEN tq.cbo_id = ANY (ARRAY[4097, 4099, 2758, 2793, 2766, 4082, 4083, 4084, 4087, 4089, 4090]) THEN 'USAID_Nuru Ya Mtoto'::text
            WHEN tq.cbo_id = ANY (ARRAY[6534, 6535, 6479, 4146, 4147, 4148, 4149, 4150, 6480, 6448, 4151, 4152, 6469, 4153, 6533, 4242, 6437, 6436, 6517, 4243, 4244, 6466, 6447, 6532, 6537, 6443, 4266, 4267, 6459, 6428, 4268, 6465, 4269, 6484, 4270, 7307, 7306, 7308]) THEN 'USAID Tumikia Mtoto'::text
            WHEN tq.cbo_id = ANY (ARRAY[7266, 7267, 7268, 7263]) THEN 'USAID 4Better Health'::text
            WHEN tq.cbo_id = ANY (ARRAY[4095, 2752, 2764, 2769, 2770, 4091, 2794, 2796, 4096, 7345, 7386]) THEN 'USAID 4The Child'::text
            WHEN tq.cbo_id = ANY (ARRAY[7341, 7343, 7341, 2805, 2774]) THEN 'USAID Boresha Jamii'::text
            WHEN tq.cbo_id = ANY (ARRAY[4115, 4116, 4117, 4118, 4119]) THEN 'USAID Imarisha Jamii'::text
            WHEN tq.cbo_id = 7233 THEN 'USAID Jamii Tekelezi'::text
            WHEN tq.cbo_id = ANY (ARRAY[3510, 3522, 6565, 6563, 6564, 3500, 3501, 3502, 3503, 3517, 3518, 3519, 3520, 3526, 3527, 3535, 3540, 6538, 6539]) THEN 'Ampath Uzima'::text
            WHEN tq.cbo_id = ANY (ARRAY[6541, 6543, 7258, 7378, 7379]) THEN 'USAID Tujitegemee'::text
            WHEN tq.cbo_id = ANY (ARRAY[6525, 6525, 4064, 4066, 4070, 4067, 4069, 4071, 4065, 4068, 4065, 4066, 4067, 4068, 4069, 4070, 4071, 4064]) THEN 'COGRI'::text
            WHEN tq.cbo_id = ANY (ARRAY[7064, 7065]) THEN 'CIHEB'::text
            WHEN tq.cbo_id = ANY (ARRAY[4073, 4074, 4075, 4076, 7023, 7024, 7053, 7054, 7351, 7352]) THEN 'LVCT'::text
            WHEN tq.cbo_id = ANY (ARRAY[900, 910, 960, 3900]) THEN 'CHAK'::text
            WHEN tq.cbo_id = ANY (ARRAY[7009, 7010, 7013, 7015, 7017]) THEN 'Bomu'::text
            WHEN tq.cbo_id = ANY (ARRAY[7019, 7021, 7022]) THEN 'HJF Kisumu West'::text
            WHEN tq.cbo_id = 7235 THEN 'HJF MRI Mombasa'::text
            ELSE NULL::text
        END AS mechanism,
        CASE
            WHEN tq.cbo_id = ANY (ARRAY[4097, 4099, 2758, 2793, 2766, 4082, 4083, 4084, 4087, 4089, 4090, 6534, 6535, 6479, 4146, 4147, 4148, 4149, 4150, 6480, 6448, 4151, 4152, 6469, 4153, 6533, 4242, 6437, 6436, 6517, 4243, 4244, 6466, 6447, 6532, 6537, 6443, 4266, 4267, 6459, 6428, 4268, 6465, 4269, 6484, 4270, 7307, 7306, 7308, 7266, 7267, 7268, 7263, 4095, 2752, 2764, 2769, 2770, 4091, 2794, 2796, 4096, 7343, 7345, 7386, 7341, 7343, 7341, 2805, 2774, 4115, 4116, 4117, 4118, 4119, 7233, 3510, 3522, 6565, 6563, 6564, 3500, 3501, 3502, 3503, 3517, 3518, 3519, 3520, 3526, 3527, 3535, 3540, 6538, 6539, 6541, 6543, 7258, 7378, 7379, 6525, 6525, 4064, 4066, 4070, 4067, 4069, 4071, 4065, 4068, 4065, 4066, 4067, 4068, 4069, 4070, 4071, 4064]) THEN 'USAID'::text
            WHEN tq.cbo_id = ANY (ARRAY[7064, 7065, 4073, 4074, 4075, 4076, 7023, 7024, 7053, 7054, 7351, 7352, 900, 910, 960, 3900, 7009, 7010, 7013, 7015, 7017]) THEN 'CDC'::text
            WHEN tq.cbo_id = ANY (ARRAY[800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823, 4020, 7019, 7021, 7022, 7235]) THEN 'DOD'::text
            ELSE NULL::text
        END AS agency
 
from vw_cpims_benchmark tq
where exit_status='ACTIVE' AND date_of_event > '2022-03-31' 
group by cbo_id, county, graduation_pathway
)TO STDOUT WITH CSV HEADER DELIMITER ','; 
dcount,county,graduation_pathway,mechanism,agency
1,Kericho,Medium Vulnerability 5-7,,DOD
1,Kericho,Medium Vulnerability 5-7,,DOD
1,Kericho,Medium Vulnerability 5-7,,DOD
2,Bomet,Highly Vulnerable 0-4,,DOD
1,Bomet,Medium Vulnerability 5-7,,DOD
2,Narok,Medium Vulnerability 5-7,,DOD
2,Kericho,Medium Vulnerability 5-7,,DOD
1,Kericho,Medium Vulnerability 5-7,,DOD
1,Kericho,Highly Vulnerable 0-4,,DOD
1,,Medium Vulnerability 5-7,,
1,,Medium Vulnerability 5-7,,
27,Kericho,Highly Vulnerable 0-4,,
16,Kericho,Low Vulnerability - 8,,
227,Kericho,Medium Vulnerability 5-7,,
3,Kericho,Ready to graduate - 9,,
9,,Low Vulnerability - 8,,
80,,Medium Vulnerability 5-7,,
1,,Ready to graduate - 9,,
1,Narok,Medium Vulnerability 5-7,CHAK,CDC
5,Nairobi,Highly Vulnerable 0-4,CHAK,CDC
10,Nairobi,Low Vulnerability - 8,CHAK,CDC
297,Nairobi,Medium Vulnerability 5-7,CHAK,CDC
1,Nairobi,Ready to graduate - 9,CHAK,CDC
214,Machakos,Highly Vulnerable 0-4,CHAK,CDC
1,Machakos,Low Vulnerability - 8,CHAK,CDC
572,Machakos,Medium Vulnerability 5-7,CHAK,CDC
1,Machakos,Ready to graduate - 9,CHAK,CDC
2,Kitui,Medium Vulnerability 5-7,,
1,Nairobi,Medium Vulnerability 5-7,,
1,Mombasa,Medium Vulnerability 5-7,,
1,Kilifi,Highly Vulnerable 0-4,,
5,Nairobi,Highly Vulnerable 0-4,,
3,Nairobi,Low Vulnerability - 8,,
60,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Ready to graduate - 9,,
4,Mombasa,Medium Vulnerability 5-7,,
5,Nairobi,Highly Vulnerable 0-4,,
27,Nairobi,Medium Vulnerability 5-7,,
5,Nairobi,Ready to graduate - 9,,
6,Nairobi,Highly Vulnerable 0-4,,
2,Nairobi,Low Vulnerability - 8,,
75,Nairobi,Medium Vulnerability 5-7,,
12,Nairobi,Ready to graduate - 9,,
7,Mombasa,Medium Vulnerability 5-7,,
8,Nairobi,Highly Vulnerable 0-4,,
14,Nairobi,Medium Vulnerability 5-7,,
2,Nairobi,Ready to graduate - 9,,
1,Mombasa,Medium Vulnerability 5-7,,
2,Nairobi,Medium Vulnerability 5-7,,
1,Kilifi,Highly Vulnerable 0-4,,
3,Nairobi,Medium Vulnerability 5-7,,
5,Nairobi,Highly Vulnerable 0-4,,
14,Nairobi,Medium Vulnerability 5-7,,
3,Kilifi,Highly Vulnerable 0-4,,
7,Kilifi,Highly Vulnerable 0-4,,
3,,Medium Vulnerability 5-7,,
1,,Ready to graduate - 9,,
11,Nairobi,Highly Vulnerable 0-4,,
1,Nairobi,Low Vulnerability - 8,,
20,Nairobi,Medium Vulnerability 5-7,,
2,Kilifi,Highly Vulnerable 0-4,,
2,Kilifi,Medium Vulnerability 5-7,,
1,Nairobi,Highly Vulnerable 0-4,,
23,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Medium Vulnerability 5-7,,
2,Nairobi,Highly Vulnerable 0-4,,
17,Nairobi,Medium Vulnerability 5-7,,
2,Nairobi,Medium Vulnerability 5-7,,
8,Nairobi,Medium Vulnerability 5-7,,
15,Nairobi,Medium Vulnerability 5-7,,
9,Nairobi,Medium Vulnerability 5-7,,
2,,Medium Vulnerability 5-7,,
2,Nairobi,Medium Vulnerability 5-7,,
2,Kilifi,Low Vulnerability - 8,,
1,Mombasa,Highly Vulnerable 0-4,,
5,Mombasa,Medium Vulnerability 5-7,,
2,Nairobi,Highly Vulnerable 0-4,,
2,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Ready to graduate - 9,,
2,Nairobi,Medium Vulnerability 5-7,,
5,Kilifi,Highly Vulnerable 0-4,,
5,Kilifi,Medium Vulnerability 5-7,,
1,Kilifi,Highly Vulnerable 0-4,,
1,Nairobi,Low Vulnerability - 8,,
3,Nairobi,Medium Vulnerability 5-7,,
2,Nairobi,Highly Vulnerable 0-4,,
2,Nairobi,Medium Vulnerability 5-7,,
3,Nairobi,Medium Vulnerability 5-7,,
3,Kilifi,Highly Vulnerable 0-4,,
3,Kilifi,Medium Vulnerability 5-7,,
3,Kilifi,Medium Vulnerability 5-7,,
6,Kilifi,Highly Vulnerable 0-4,,
7,Kilifi,Medium Vulnerability 5-7,,
2,Kilifi,Ready to graduate - 9,,
1,Kilifi,Low Vulnerability - 8,,
5,Kilifi,Medium Vulnerability 5-7,,
24,Nairobi,Highly Vulnerable 0-4,,
28,Nairobi,Medium Vulnerability 5-7,,
2,Kilifi,Highly Vulnerable 0-4,,
16,Kilifi,Medium Vulnerability 5-7,,
2,Nairobi,Highly Vulnerable 0-4,,
9,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Highly Vulnerable 0-4,,
5,Nairobi,Medium Vulnerability 5-7,,
6,Mombasa,Low Vulnerability - 8,,
9,Mombasa,Medium Vulnerability 5-7,,
1,Kilifi,Highly Vulnerable 0-4,,
4,Kilifi,Highly Vulnerable 0-4,,
11,Kilifi,Medium Vulnerability 5-7,,
4,Kilifi,Highly Vulnerable 0-4,,
1,Kilifi,Low Vulnerability - 8,,
1,Kilifi,Medium Vulnerability 5-7,,
2,Kilifi,Highly Vulnerable 0-4,,
2,,Medium Vulnerability 5-7,,
7,Kilifi,Highly Vulnerable 0-4,,
5,Mombasa,Medium Vulnerability 5-7,,
7,Kilifi,Highly Vulnerable 0-4,,
6,Mombasa,Medium Vulnerability 5-7,,
5,Kilifi,Highly Vulnerable 0-4,,
3,Kilifi,Medium Vulnerability 5-7,,
1,Mombasa,Highly Vulnerable 0-4,,
1,Mombasa,Medium Vulnerability 5-7,,
1,Nairobi,Highly Vulnerable 0-4,,
2,Nairobi,Medium Vulnerability 5-7,,
32,Nairobi,Medium Vulnerability 5-7,,
4,Kwale,Medium Vulnerability 5-7,,
2,Kilifi,Medium Vulnerability 5-7,,
5,Mombasa,Medium Vulnerability 5-7,,
2,Kilifi,Medium Vulnerability 5-7,,
9,Nairobi,Highly Vulnerable 0-4,,
18,Nairobi,Medium Vulnerability 5-7,,
5,Nairobi,Ready to graduate - 9,,
5,,Highly Vulnerable 0-4,,
1,,Low Vulnerability - 8,,
12,,Medium Vulnerability 5-7,,
2,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Ready to graduate - 9,,
1,Uasin Gishu,Ready to graduate - 9,,
3,Nairobi,Highly Vulnerable 0-4,,
2,Nairobi,Low Vulnerability - 8,,
7,Nairobi,Medium Vulnerability 5-7,,
3,Nairobi,Ready to graduate - 9,,
26,Nairobi,Medium Vulnerability 5-7,,
2,Nairobi,Ready to graduate - 9,,
2,Nairobi,Highly Vulnerable 0-4,,
3,Nairobi,Low Vulnerability - 8,,
48,Nairobi,Medium Vulnerability 5-7,,
3,Kilifi,Medium Vulnerability 5-7,,
1,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Medium Vulnerability 5-7,,
5,Nairobi,Low Vulnerability - 8,,
8,Nairobi,Medium Vulnerability 5-7,,
12,Nairobi,Medium Vulnerability 5-7,,
5,,Medium Vulnerability 5-7,,
3,Nairobi,Highly Vulnerable 0-4,,
30,Nairobi,Medium Vulnerability 5-7,,
3,Kilifi,Medium Vulnerability 5-7,,
2,Kilifi,Highly Vulnerable 0-4,,
2,Kilifi,Medium Vulnerability 5-7,,
1,Kilifi,Highly Vulnerable 0-4,,
2,Nairobi,Medium Vulnerability 5-7,,
8,Nairobi,Highly Vulnerable 0-4,,
30,Nairobi,Medium Vulnerability 5-7,,
1,Nairobi,Ready to graduate - 9,,
3,Nairobi,Medium Vulnerability 5-7,,
800,Busia,Highly Vulnerable 0-4,USAID 4The Child,USAID
513,Busia,Low Vulnerability - 8,USAID 4The Child,USAID
4806,Busia,Medium Vulnerability 5-7,USAID 4The Child,USAID
121,Busia,Ready to graduate - 9,USAID 4The Child,USAID
1535,Migori,Highly Vulnerable 0-4,USAID_Nuru Ya Mtoto,USAID
871,Migori,Low Vulnerability - 8,USAID_Nuru Ya Mtoto,USAID
7026,Migori,Medium Vulnerability 5-7,USAID_Nuru Ya Mtoto,USAID
159,Migori,Ready to graduate - 9,USAID_Nuru Ya Mtoto,USAID
253,Busia,Highly Vulnerable 0-4,USAID 4The Child,USAID
1364,Busia,Low Vulnerability - 8,USAID 4The Child,USAID
3280,Busia,Medium Vulnerability 5-7,USAID 4The Child,USAID
73,Busia,Ready to graduate - 9,USAID 4The Child,USAID
1073,Homa Bay,Highly Vulnerable 0-4,USAID_Nuru Ya Mtoto,USAID
1485,Homa Bay,Low Vulnerability - 8,USAID_Nuru Ya Mtoto,USAID
17214,Homa Bay,Medium Vulnerability 5-7,USAID_Nuru Ya Mtoto,USAID
449,Homa Bay,Ready to graduate - 9,USAID_Nuru Ya Mtoto,USAID
1,Kakamega,Medium Vulnerability 5-7,,
232,Kakamega,Highly Vulnerable 0-4,USAID 4The Child,USAID
477,Kakamega,Low Vulnerability - 8,USAID 4The Child,USAID
7960,Kakamega,Medium Vulnerability 5-7,USAID 4The Child,USAID
46,Kakamega,Ready to graduate - 9,USAID 4The Child,USAID
607,Bungoma,Highly Vulnerable 0-4,USAID 4The Child,USAID
262,Bungoma,Low Vulnerability - 8,USAID 4The Child,USAID
4224,Bungoma,Medium Vulnerability 5-7,USAID 4The Child,USAID
23,Bungoma,Ready to graduate - 9,USAID 4The Child,USAID
1,Nyamira,Medium Vulnerability 5-7,USAID Boresha Jamii,USAID
1,Kisumu,Medium Vulnerability 5-7,,
1,Kisumu,Medium Vulnerability 5-7,,
1,Kisumu,Medium Vulnerability 5-7,,
2,Migori,Low Vulnerability - 8,,
5,Migori,Medium Vulnerability 5-7,,
4,Migori,Ready to graduate - 9,,
1,Kisumu,Low Vulnerability - 8,,
1,Kisumu,Medium Vulnerability 5-7,,
339,Kakamega,Highly Vulnerable 0-4,USAID 4The Child,USAID
157,Kakamega,Low Vulnerability - 8,USAID 4The Child,USAID
3763,Kakamega,Medium Vulnerability 5-7,USAID 4The Child,USAID
