dreams_id,implementing_partner_name,ovc_id
39/1233/695,USAID Nuru Ya Mtoto,3206231327
39/1234/428,USAID Nuru Ya Mtoto,501214418
39/1246/423,USAID Nuru Ya Mtoto,423167940
39/1256/877,USAID Nuru Ya Mtoto,167866375
39/1292/1419,USAID Nuru Ya Mtoto,43834662
39/1246/404,USAID Nuru Ya Mtoto,42859087
39/1246/407,USAID Nuru Ya Mtoto,42704127
39/1246/409,USAID Nuru Ya Mtoto,42589145
39/1246/400,USAID Nuru Ya Mtoto,42579674
39/1246/399,USAID Nuru Ya Mtoto,42579001
39/1246/537,USAID Nuru Ya Mtoto,42324455
39/1277/172,USAID Nuru Ya Mtoto,37115596
39/1267/1032,USAID Nuru Ya Mtoto,34888984
39/1258/588,USAID Nuru Ya Mtoto,34346754
39/1236/518,USAID Nuru Ya Mtoto,34304842
39/1238/502,USAID Nuru Ya Mtoto,33940908
39/1258/1067,USAID Nuru Ya Mtoto,33432567
39/1233/604,USAID Nuru Ya Mtoto,33428760
39/1258/858,USAID Nuru Ya Mtoto,33425578
39/1260/819,USAID Nuru Ya Mtoto,30694435
39/1298/847,USAID Nuru Ya Mtoto,26486783
39/1260/739,USAID Nuru Ya Mtoto,25203114
39/1243/612,USAID Nuru Ya Mtoto,24418859
39/1277/659,USAID Nuru Ya Mtoto,23738468
39/1234/321,USAID Nuru Ya Mtoto,23423428
39/1234/320,USAID Nuru Ya Mtoto,20423428
39/1234/319,USAID Nuru Ya Mtoto,20423328
39/1246/662,USAID Nuru Ya Mtoto,19822062
39/1234/315,USAID Nuru Ya Mtoto,19637740
39/1234/312,USAID Nuru Ya Mtoto,19612866
39/1234/308,USAID Nuru Ya Mtoto,19612268
39/1246/282,USAID Nuru Ya Mtoto,19531817
39/1234/436,USAID Nuru Ya Mtoto,19489597
39/1251/321,USAID Nuru Ya Mtoto,18667709
39/1234/304,USAID Nuru Ya Mtoto,18624032
39/1256/879,USAID Nuru Ya Mtoto,17370776
39/1246/252,USAID Nuru Ya Mtoto,17260666
39/1258/767,USAID Nuru Ya Mtoto,15243695
39/1260/868,USAID Nuru Ya Mtoto,8155284
39/1245/560,USAID Nuru Ya Mtoto,4550184
39/1266/1131,USAID Nuru Ya Mtoto,4426738
39/1266/1137,USAID Nuru Ya Mtoto,4426733
39/1268/1255,USAID Nuru Ya Mtoto,4424958
39/1236/505,USAID Nuru Ya Mtoto,4418963
39/1236/508,USAID Nuru Ya Mtoto,4418960
39/1236/615,USAID Nuru Ya Mtoto,4408805
39/1236/520,USAID Nuru Ya Mtoto,4408799
39/1245/686,USAID Nuru Ya Mtoto,4394297
39/1293/540,USAID Nuru Ya Mtoto,4389514
39/1293/539,USAID Nuru Ya Mtoto,4389510
39/1293/565,USAID Nuru Ya Mtoto,4389506
39/1293/567,USAID Nuru Ya Mtoto,4389505
39/1293/568,USAID Nuru Ya Mtoto,4389501
39/1237/424,USAID Nuru Ya Mtoto,4385906
39/1237/464,USAID Nuru Ya Mtoto,4385892
39/1237/502,USAID Nuru Ya Mtoto,4385689
39/1237/428,USAID Nuru Ya Mtoto,4385651
39/1237/465,USAID Nuru Ya Mtoto,4385540
39/1237/568,USAID Nuru Ya Mtoto,4385540
39/1237/426,USAID Nuru Ya Mtoto,4385357
39/1292/1551,USAID Nuru Ya Mtoto,4385020
39/1292/1418,USAID Nuru Ya Mtoto,4383464
39/1292/1441,USAID Nuru Ya Mtoto,4383460
39/1289/1814,USAID Nuru Ya Mtoto,4382659
39/1245/289,USAID Nuru Ya Mtoto,4377310
39/1240/705,USAID Nuru Ya Mtoto,4375696
39/1240/703,USAID Nuru Ya Mtoto,4375680
39/1253/797,USAID Nuru Ya Mtoto,4374838
39/1253/805,USAID Nuru Ya Mtoto,4373119
39/1237/338,USAID Nuru Ya Mtoto,4369309
39/1238/521,USAID Nuru Ya Mtoto,4368594
39/1238/484,USAID Nuru Ya Mtoto,4368473
39/1238/486,USAID Nuru Ya Mtoto,4368462
39/1238/487,USAID Nuru Ya Mtoto,4368444
39/1238/488,USAID Nuru Ya Mtoto,4368433
39/1238/528,USAID Nuru Ya Mtoto,4368399
39/1237/468,USAID Nuru Ya Mtoto,4365672
39/1240/675,USAID Nuru Ya Mtoto,4364531
39/1240/665,USAID Nuru Ya Mtoto,4361513
39/1240/700,USAID Nuru Ya Mtoto,4360776
39/1257/1050,USAID Nuru Ya Mtoto,4357275
